aoi_floor_mm_day,aoi_px,file,local_floor_ci_hi,local_floor_ci_lo,local_floor_mm_day,radius_px,ratio,span_days,usable,window_px,window_total_px
21.02330521430969,9264,GOFF_20251128_20251210_PR_HH-layer2.tif,38.831503370760075,14.357475623202324,23.234271403598783,3,1.1051673924128818,12.0,True,40,49
21.357865322542192,9078,GOFF_20251210_20251222_PR_HH-layer2.tif,62.88089858609671,27.487420910453796,42.623767327308656,3,1.9956941709114222,12.0,True,33,49
24.497337375640868,9538,GOFF_20251222_20260103_PR_HH-layer2.tif,42.93750795926571,18.584702493987677,31.477149095821378,3,1.2849212391188662,12.0,True,40,49
23.829233368223907,9251,GOFF_20260103_20260115_PR_HH-layer2.tif,43.79820028760433,13.224687483215332,35.48032491837144,3,1.4889410989479908,12.0,True,40,49
18.60355077037811,8232,GOFF_20260702_20260714_PR_HH-layer2.tif,33.455387285614016,10.12268247756958,24.52782709350586,3,1.3184486873635328,12.0,True,19,49
13.351919206666944,8567,GOFF_20260714_20260726_PR_HH-layer2.tif,19.87901185054779,4.515736758384705,13.080723106098175,3,0.9796886053329806,12.0,True,31,49
21.02330521430969,9264,GOFF_20251128_20251210_PR_HH-layer2.tif,40.81840591248304,21.424336078197957,27.976938958168024,6,1.3307583499822513,12.0,True,102,169
21.357865322542192,9078,GOFF_20251210_20251222_PR_HH-layer2.tif,51.726420258859996,30.745789643096924,42.7939648235321,6,2.0036630148784176,12.0,True,93,169
24.497337375640868,9538,GOFF_20251222_20260103_PR_HH-layer2.tif,56.40456681913374,26.66951096978188,47.535833249580854,6,1.9404489769916182,12.0,True,111,169
23.829233368223907,9251,GOFF_20260103_20260115_PR_HH-layer2.tif,39.12856383632182,22.809026512527467,32.46198861579895,6,1.3622758279369052,12.0,True,103,169
18.60355077037811,8232,GOFF_20260702_20260714_PR_HH-layer2.tif,55.22232581734658,21.446024141693115,40.43485754470825,6,2.173502147186412,12.0,True,49,169
13.351919206666944,8567,GOFF_20260714_20260726_PR_HH-layer2.tif,27.092982454776763,13.750086516380309,19.160676699256896,6,1.4350503776033559,12.0,True,65,169
8.8718083630085,8612,GOFF_20260726_20260819_PR_HH-layer2.tif,37.97131831626892,13.896092272295952,34.309329854393006,6,3.8672307212414183,24.0,True,26,169
15.591060177326204,7774,GOFF_20260819_20260831_PR_HH-layer2.tif,33.54294837112427,6.429621763801575,16.521675959587096,6,1.0596890635836471,12.0,True,19,169
21.02330521430969,9264,GOFF_20251128_20251210_PR_HH-layer2.tif,36.87025032053947,27.612150565423963,31.170372820758818,12,1.4826580550969901,12.0,True,414,625
21.357865322542192,9078,GOFF_20251210_20251222_PR_HH-layer2.tif,34.765615944192405,28.01107728141189,31.218882210731504,12,1.4617042358527041,12.0,True,418,625
24.497337375640868,9538,GOFF_20251222_20260103_PR_HH-layer2.tif,36.98351782319784,27.214549706425665,32.380189244270326,12,1.3217840268823597,12.0,True,435,625
23.829233368223907,9251,GOFF_20260103_20260115_PR_HH-layer2.tif,32.73949657682776,25.44626745507717,29.224251767921444,12,1.226403355757628,12.0,True,436,625
18.60355077037811,8232,GOFF_20260702_20260714_PR_HH-layer2.tif,30.151323919343945,21.36994153040528,24.75243920631409,12,1.330522302534131,12.0,True,252,625
13.351919206666944,8567,GOFF_20260714_20260726_PR_HH-layer2.tif,18.555936761362553,12.905530893137454,15.024866795253752,12,1.1252964133988665,12.0,True,275,625
8.8718083630085,8612,GOFF_20260726_20260819_PR_HH-layer2.tif,9.076726586709688,6.209539577686787,7.147927090269326,12,0.8056899786150711,24.0,True,221,625
15.591060177326204,7774,GOFF_20260819_20260831_PR_HH-layer2.tif,26.997482929229736,16.298354634194972,22.979489825248717,12,1.473888854503132,12.0,True,153,625
