aoi_floor_mm_day,aoi_px,block_median_floor_mm_day,file,lat,local_floor_ci_hi,local_floor_ci_lo,local_floor_mm_day,lon,n_blocks,radius_px,ratio,span_days,target_id,usable,window_px,window_total_px
3.4455516202926635,7077,2.8136054168701166,GUNW_20251128_20251210_PR.tif,28.26459,9.76521301689148,4.7207256752014155,7.809627906990051,85.49739,62,6,2.266582761667261,12.0,1,True,48,169
2.6100215275883674,6265,2.8145278434187175,GUNW_20251210_20251222_PR.tif,28.26459,15.892259961605072,5.917408766562939,13.903461575174331,85.49739,61,6,5.326952834761093,12.0,1,True,34,169
4.251287730932235,7592,3.022224708366394,GUNW_20251222_20260103_PR.tif,28.26459,10.55577043993949,5.756013066101073,8.112329271697998,85.49739,64,6,1.9082051804381404,12.0,1,True,57,169
4.901799511188268,6314,4.090702311265469,GUNW_20260103_20260115_PR.tif,28.26459,7.676183783340455,1.7185560616135598,3.8589596797406673,85.49739,60,6,0.7872536750906809,12.0,1,True,27,169
3.8914524327278137,174,nan,GUNW_20260620_20260702_PR.tif,28.26459,2.0336531530380246,0.13285876178741454,0.7811314710617067,85.49739,0,6,0.2007300576237938,12.0,1,True,9,169
3.4455516202926635,7077,2.8136054168701166,GUNW_20251128_20251210_PR.tif,28.2702,10.750563668060302,3.918337438516617,7.72486213645935,85.51853,62,6,2.2419812522800644,12.0,5,True,57,169
2.6100215275883674,6265,2.8145278434187175,GUNW_20251210_20251222_PR.tif,28.2702,11.321500743484497,5.054328207778931,9.009742735290526,85.51853,61,6,3.451980238498429,12.0,5,True,53,169
4.251287730932235,7592,3.022224708366394,GUNW_20251222_20260103_PR.tif,28.2702,6.616307323629855,3.0666584103298185,5.320209745788574,85.51853,64,6,1.2514348786789697,12.0,5,True,62,169
4.901799511188268,6314,4.090702311265469,GUNW_20260103_20260115_PR.tif,28.2702,16.44693888414904,7.80546109199524,13.59906032810211,85.51853,60,6,2.7742995806055517,12.0,5,True,50,169
4.758079962730408,363,nan,GUNW_20260702_20260714_PR.tif,28.2702,2.690569847202301,0.07475806217193603,1.3771217514038085,85.51853,1,6,0.2894280386606937,12.0,5,True,11,169
4.017918166351318,154,nan,GUNW_20260714_20260726_PR.tif,28.2702,0.9839126970291138,0.04482966957092285,0.27163901023864745,85.51853,0,6,0.06760690461879754,12.0,5,True,9,169
