azimuth_mad_sigma_mm,azimuth_median_mm,detect_floor_mm_day,export_file,export_mb,file,layer,magnitude_p95_mm,mean_correlation,range_mad_sigma_mm,range_max_abs_mm,range_median_mm,range_p5_mm,range_p95_mm,range_velocity_mm_day,reference,secondary,span_days,valid_pct,valid_px
187.47,-6.48,31.55,GOFF_20251222_20260103_PR_HH-layer1.tif,0.392,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer1,582.47,0.633,126.21,550.95,9.83,-233.77,284.11,0.819,20251222,20260103,12,0.18,33652
117.45,-2.24,18.86,GOFF_20251222_20260103_PR_HH-layer2.tif,0.389,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer2,342.0,0.673,75.43,316.07,6.25,-136.02,175.25,0.521,20251222,20260103,12,0.19,35375
76.91,7.39,14.73,GOFF_20251222_20260103_PR_HH-layer3.tif,0.367,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer3,204.96,0.71,58.92,241.81,2.26,-81.45,118.72,0.188,20251222,20260103,12,0.19,35352
313.34,184.77,126.14,GOFF_20251231_20260112_PR_HH-layer1.tif,0.31,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer1,1997.2,0.627,504.54,2628.26,166.88,-866.29,1526.07,13.907,20251231,20260112,12,0.14,26347
240.53,120.8,100.61,GOFF_20251231_20260112_PR_HH-layer2.tif,0.307,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer2,1501.8,0.637,402.45,2062.5,163.97,-627.26,1275.64,13.664,20251231,20260112,12,0.14,26729
149.2,87.9,60.03,GOFF_20251231_20260112_PR_HH-layer3.tif,0.275,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer3,902.36,0.686,240.11,1320.13,170.95,-288.14,842.92,14.246,20251231,20260112,12,0.13,24645
192.77,-18.77,31.83,GOFF_20260103_20260115_PR_HH-layer1.tif,0.386,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer1,615.76,0.635,127.32,561.45,10.52,-252.19,278.99,0.877,20260103,20260115,12,0.18,33098
121.21,-17.16,20.12,GOFF_20260103_20260115_PR_HH-layer2.tif,0.384,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer2,363.46,0.672,80.47,343.47,13.87,-152.34,183.07,1.156,20260103,20260115,12,0.19,34902
57.33,-15.78,16.51,GOFF_20260103_20260115_PR_HH-layer3.tif,0.361,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer3,226.24,0.707,66.04,285.25,18.45,-102.74,120.05,1.537,20260103,20260115,12,0.19,34782
1764.7,-311.19,106.59,GOFF_20260629_20260711_PR_HH-layer1.tif,0.259,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer1,5871.02,0.553,426.38,2532.83,231.5,-814.96,1455.11,19.292,20260629,20260711,12,0.11,20517
1650.02,-257.1,88.03,GOFF_20260629_20260711_PR_HH-layer2.tif,0.269,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer2,5082.38,0.554,352.14,1888.09,231.97,-591.48,1194.71,19.331,20260629,20260711,12,0.12,22711
1545.06,-243.19,57.1,GOFF_20260629_20260711_PR_HH-layer3.tif,0.257,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer3,4738.38,0.601,228.39,1270.34,236.44,-276.89,883.15,19.703,20260629,20260711,12,0.12,23241
307.72,158.33,22.7,GOFF_20260702_20260714_PR_HH-layer1.tif,0.358,NISAR_L2_PR_GOFF_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,HH/layer1,684.6,0.642,90.82,482.5,-54.81,-248.05,172.14,-4.567,20260702,20260714,12,0.16,29895
