geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,-13.141,
ASC path 98,1,2025-12-22,24,26.848,
ASC path 98,1,2026-01-03,36,-18.1,
ASC path 98,1,2026-01-15,48,74.701,
ASC path 98,2,2026-07-02,0,0.0,
ASC path 98,2,2026-07-14,12,-197.248,
ASC path 98,2,2026-07-26,24,-135.124,
ASC path 98,2,2026-08-19,48,103.235,
ASC path 98,2,2026-08-31,60,0.0,
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,926.844,
DESC path 48,1,2025-12-19,24,1682.445,
DESC path 48,1,2025-12-31,36,-341.604,
DESC path 48,1,2026-01-12,48,-1006.456,
DESC path 48,2,2026-06-29,0,0.0,
DESC path 48,2,2026-07-11,12,-720.982,
DESC path 48,2,2026-07-23,24,481.107,
DESC path 48,2,2026-08-16,48,570.94,
DESC path 48,2,2026-08-28,60,0.0,
