geometry,component,epoch,days_from_start,cumulative_mm,error_mm
ASC path 98,1,2025-11-28,0,0.0,
ASC path 98,1,2025-12-10,12,56.657,
ASC path 98,1,2025-12-22,24,108.887,
ASC path 98,1,2026-01-03,36,150.254,
ASC path 98,1,2026-01-15,48,207.368,
ASC path 98,2,2026-07-02,0,0.0,0.0
ASC path 98,2,2026-07-14,12,-33.716,41.959
ASC path 98,2,2026-07-26,24,-5.614,59.339
ASC path 98,2,2026-08-19,48,-3.93,72.675
ASC path 98,2,2026-08-31,60,-21.674,78.498
DESC path 48,1,2025-11-25,0,0.0,
DESC path 48,1,2025-12-07,12,511.098,
DESC path 48,1,2025-12-19,24,100.005,
DESC path 48,1,2025-12-31,36,-729.259,
DESC path 48,1,2026-01-12,48,-652.631,
DESC path 48,2,2026-06-29,0,0.0,0.0
DESC path 48,2,2026-07-11,12,67.375,285.651
DESC path 48,2,2026-07-23,24,250.184,403.972
DESC path 48,2,2026-08-16,48,360.197,494.763
DESC path 48,2,2026-08-28,60,1033.742,534.405
