elev_iqr_m,elev_range_m,file,intercept_mm,leverage,mad_after_mm,mad_before_mm,n,n_used,p_value,proc,r,reference,slope_mm_per_km,std_after_mm,std_before_mm,track,usable,variance_explained
1346.7104460756636,4386.16894409938,GOFF_20251125_20251207_PR_HH-layer2.tif,-77.44092873971248,3.2569502649071653,372.410227634627,372.44115074157713,7703,7269,0.0006754893148828889,PR,-0.039844820981029795,20251125,-16.302003563672823,505.24953014781556,505.44015816301203,D048,True,0.001587609759010312
1561.3237718802939,4337.504912478824,GOFF_20251128_20251210_PR_HH-layer2.tif,-13.018200126453767,2.778094454589127,82.0058783163825,84.09322085723876,9264,8822,1.542607589059364e-29,PR,0.11931197802503095,20251128,10.652204952062723,107.8841311446881,108.38951869864171,A098,True,0.014235348100245468
1351.902428006776,4386.16894409938,GOFF_20251207_20251219_PR_HH-layer2.tif,327.3180870917228,3.244441945833531,409.19402584682786,413.9978267237663,7168,6668,5.897943507998276e-60,PR,-0.19614293938027458,20251207,-89.43872611669184,587.2169543686474,590.781557548728,D048,True,0.03847205266873407
1546.6664878599668,4361.836928289103,GOFF_20251210_20251222_PR_HH-layer2.tif,-3.418796145265768,2.8201535124255033,85.4868492426902,85.43146129016876,9078,8648,5.946693280892437e-09,PR,0.06245054227702052,20251210,6.170217186015359,115.7492180833948,115.82199805478496,A098,True,0.0039000702306939278
1194.6103896103896,4337.504912478824,GOFF_20251219_20251231_PR_HH-layer2.tif,-326.7828584276,3.630895018327656,470.51306460041803,471.5914283477783,7134,6701,3.5482869209484503e-19,PR,0.108704288274524,20251219,60.033056064567646,654.4322198810052,657.4686810038909,D048,True,0.011816622289270814
1589.4240542066632,4361.836928289103,GOFF_20251222_20260103_PR_HH-layer2.tif,109.58527981884396,2.7442877290958374,93.56868842280197,97.98934950256347,9538,9237,9.825164149799239e-71,PR,-0.18194523281553393,20251222,-18.590823007634224,115.01769713723544,115.88488558192203,A098,True,0.033104067744298846
1275.6910784867314,4337.504912478824,GOFF_20251231_20260112_PR_HH-layer2.tif,229.14471823751896,3.400121695312098,456.8559180820675,455.90246357116695,8040,7535,0.7584370045000908,PR,-0.0035432869263195984,20251231,-1.9180207369122018,646.2875436274286,646.2609010744915,D048,True,1.2554882242227387e-05
1530.4165443252405,4337.504912478824,GOFF_20260103_20260115_PR_HH-layer2.tif,-137.27282820777816,2.834198916995651,89.00207260787879,95.31693347289561,9251,8866,8.901217686639238e-204,PR,0.3078187190322413,20260103,32.241448831434056,115.14227055868075,119.46367826762297,A098,True,0.0947523637866499
1261.7145680406556,4243.908865047995,GOFF_20260629_20260711_PR_HH-layer2.tif,-76.73770295676862,3.3636045525244707,463.3532877452997,457.2241597549438,6756,6214,2.4526173604126785e-24,PR,0.12808873799472728,20260629,69.97723353211107,696.3710175975966,700.091101546513,D048,True,0.016406724801081893
1412.2601355166562,4337.504912478824,GOFF_20260702_20260714_PR_HH-layer2.tif,-44.29609602615477,3.07132149622846,74.38707396343551,74.41420308151244,8232,7763,0.5248700325383433,PR,0.007217534737756463,20260702,0.6389078080854508,101.8028115049805,101.8136081551086,A098,True,5.209280769072125e-05
1221.7326369282891,4133.366911349521,GOFF_20260711_20260723_PR_HH-layer2.tif,-161.3356462290827,3.383200862785933,347.20449588004396,344.9602494049072,6996,6382,0.002535226841159315,PR,0.037770945718472886,20260711,15.691295838764804,531.9923018304459,532.5312071685852,D048,True,0.0014266443404678253
1438.5730095990966,4337.504912478824,GOFF_20260714_20260726_PR_HH-layer2.tif,60.76112326273518,3.01514409316466,50.54437492214837,53.40767682666778,8567,8193,1.5369257964477478e-37,PR,-0.14009019662947253,20260714,-8.411029853543878,65.08650429421911,65.43485375087528,A098,True,0.019625263191684277
1236.6380575945795,4172.237718802936,GOFF_20260723_20260816_PR_HH-layer2.tif,-87.77706411908494,3.373855181942626,78.93597617717933,74.92824694290161,8804,8451,6.304441506938213e-149,PR,0.2720905435458687,20260723,28.870737948390424,99.41220435231912,101.95459700132226,D048,True,0.07403326388708627
1465.9691699604732,4361.836928289103,GOFF_20260726_20260819_PR_HH-layer2.tif,-119.27583002878804,2.9753947202086866,67.42480729704499,70.974466904068,8612,8273,1.526825151618698e-236,PR,0.3396428449626276,20260726,27.553130013891433,85.88759390750845,88.43161110884905,A098,True,0.11535726213430748
1372.8777526821013,4235.87848673066,GOFF_20260816_20260828_PR_HH-layer2.tif,143.38965114769465,3.0854010697276593,341.9424903889674,342.2412067932129,6370,5743,1.5492327270436668e-12,PR,-0.09290600083583414,20260816,-38.0609751062406,566.687960497118,569.1166487324057,D048,True,0.008631524991308015
1166.3438452851487,4002.264370412197,GOFF_20260816_20260828_UR_HH-layer2.tif,468.8759771518956,3.431461816848461,183.4731706086118,178.26362998123167,5528,5220,8.900330806209166e-73,UR,-0.24233849602983243,20260816,-54.675064973253036,240.80703601544855,248.20573935892432,D048,True,0.05872794665800111
1521.8028797289671,4302.913608130998,GOFF_20260819_20260831_PR_HH-layer2.tif,-74.92233882511768,2.8275104913044626,56.048691463036604,62.36424070930481,7774,7327,2.6186025184594264e-30,PR,0.13249566974078864,20260819,8.327510075153015,76.25401863807912,76.5968415346472,A098,True,0.01755510250006013
1492.4975719932236,4335.974138904572,GOFF_20260819_20260831_UR_HH-layer2.tif,-20.082690931205907,2.905180028610632,33.54153350414781,33.898132941055295,7681,7144,1.5535401478163674e-10,UR,-0.07551439910054976,20260819,-3.0126484015478057,48.52687739320861,48.7217418422683,A098,True,0.00570242447151711
