aoi_floor_mm_day,aoi_px,file,local_floor_mm_day,radius_px,ratio,span_days,usable,window_px,window_total_px
93.11028768539428,7703,GOFF_20251125_20251207_PR_HH-layer2.tif,114.01272274475097,3,1.2244911446303643,12.0,True,7,49
21.02330521430969,9264,GOFF_20251128_20251210_PR_HH-layer2.tif,23.234271403598783,3,1.1051673924128818,12.0,True,40,49
103.49945668094158,7168,GOFF_20251207_20251219_PR_HH-layer2.tif,163.5516426361084,3,1.5802174028825104,12.0,True,13,49
21.357865322542192,9078,GOFF_20251210_20251222_PR_HH-layer2.tif,42.623767327308656,3,1.9956941709114222,12.0,True,33,49
117.89785708694457,7134,GOFF_20251219_20251231_PR_HH-layer2.tif,81.98126919250488,3,0.6953584332923646,12.0,True,10,49
24.497337375640868,9538,GOFF_20251222_20260103_PR_HH-layer2.tif,31.477149095821378,3,1.2849212391188662,12.0,True,40,49
113.97561589279174,8040,GOFF_20251231_20260112_PR_HH-layer2.tif,185.54565031585693,3,1.6279416335015529,12.0,True,30,49
23.829233368223907,9251,GOFF_20260103_20260115_PR_HH-layer2.tif,35.48032491837144,3,1.4889410989479908,12.0,True,40,49
114.30603993873596,6756,GOFF_20260629_20260711_PR_HH-layer2.tif,317.4624036804199,3,2.777302090515678,12.0,True,9,49
18.60355077037811,8232,GOFF_20260702_20260714_PR_HH-layer2.tif,24.52782709350586,3,1.3184486873635328,12.0,True,19,49
86.2400623512268,6996,GOFF_20260711_20260723_PR_HH-layer2.tif,100.41266843261718,3,1.1643390055038472,12.0,True,28,49
13.351919206666944,8567,GOFF_20260714_20260726_PR_HH-layer2.tif,13.080723106098175,3,0.9796886053329806,12.0,True,31,49
9.366030867862701,8804,GOFF_20260723_20260816_PR_HH-layer2.tif,5.763325847625732,3,0.6153434607397258,24.0,True,49,49
93.11028768539428,7703,GOFF_20251125_20251207_PR_HH-layer2.tif,93.87497388153075,6,1.0082126928736406,12.0,True,40,169
21.02330521430969,9264,GOFF_20251128_20251210_PR_HH-layer2.tif,27.976938958168024,6,1.3307583499822513,12.0,True,102,169
103.49945668094158,7168,GOFF_20251207_20251219_PR_HH-layer2.tif,323.6012575435638,6,3.126598611441328,12.0,True,30,169
21.357865322542192,9078,GOFF_20251210_20251222_PR_HH-layer2.tif,42.7939648235321,6,2.0036630148784176,12.0,True,93,169
117.89785708694457,7134,GOFF_20251219_20251231_PR_HH-layer2.tif,217.61525701904296,6,1.8457948464539191,12.0,True,50,169
24.497337375640868,9538,GOFF_20251222_20260103_PR_HH-layer2.tif,47.535833249580854,6,1.9404489769916182,12.0,True,111,169
113.97561589279174,8040,GOFF_20251231_20260112_PR_HH-layer2.tif,270.9848697715759,6,2.3775688128456434,12.0,True,84,169
23.829233368223907,9251,GOFF_20260103_20260115_PR_HH-layer2.tif,32.46198861579895,6,1.3622758279369052,12.0,True,103,169
114.30603993873596,6756,GOFF_20260629_20260711_PR_HH-layer2.tif,376.4842734020233,6,3.2936516180930218,12.0,True,72,169
18.60355077037811,8232,GOFF_20260702_20260714_PR_HH-layer2.tif,40.43485754470825,6,2.173502147186412,12.0,True,49,169
86.2400623512268,6996,GOFF_20260711_20260723_PR_HH-layer2.tif,188.49408690948485,6,2.185690522135893,12.0,True,72,169
13.351919206666944,8567,GOFF_20260714_20260726_PR_HH-layer2.tif,19.160676699256896,6,1.4350503776033559,12.0,True,65,169
9.366030867862701,8804,GOFF_20260723_20260816_PR_HH-layer2.tif,6.2527668368339535,6,0.6676004942807556,24.0,True,148,169
8.8718083630085,8612,GOFF_20260726_20260819_PR_HH-layer2.tif,34.309329854393006,6,3.8672307212414183,24.0,True,26,169
15.591060177326204,7774,GOFF_20260819_20260831_PR_HH-layer2.tif,16.521675959587096,6,1.0596890635836471,12.0,True,19,169
93.11028768539428,7703,GOFF_20251125_20251207_PR_HH-layer2.tif,166.2271104300499,12,1.7852711506134145,12.0,True,186,625
