aoi_floor_mm_day,aoi_px,block_median_floor_mm_day,file,lat,local_floor_ci_hi,local_floor_ci_lo,local_floor_mm_day,lon,n_blocks,radius_px,ratio,span_days,target_id,usable,window_px,window_total_px
21.02330521430969,9264,8.850442875963449,GOFF_20251128_20251210_PR_HH-layer2.tif,28.26459,52.67517917032237,20.55946390914917,32.66805578613281,85.49739,76,6,1.5538972322913822,12.0,1,True,111,169
21.357865322542192,9078,8.896384017276764,GOFF_20251210_20251222_PR_HH-layer2.tif,28.26459,83.42187980049133,56.51752691844463,70.91615411682129,85.49739,75,6,3.3203765004535692,12.0,1,True,90,169
24.497337375640868,9538,9.27946374705322,GOFF_20251222_20260103_PR_HH-layer2.tif,28.26459,33.82578385856866,21.316595535024405,27.865714371943472,85.49739,76,6,1.1374997186286857,12.0,1,True,118,169
23.829233368223907,9251,9.573993394660949,GOFF_20260103_20260115_PR_HH-layer2.tif,28.26459,43.64245712017893,29.432567067146298,36.45335906639099,85.49739,76,6,1.5297747310243415,12.0,1,True,124,169
18.60355077037811,8232,9.199006556081772,GOFF_20260702_20260714_PR_HH-layer2.tif,28.26459,31.782857827792157,16.346303666553496,22.33339454898834,85.49739,72,6,1.200490961357181,12.0,1,True,83,169
13.351919206666944,8567,6.187356183528901,GOFF_20260714_20260726_PR_HH-layer2.tif,28.26459,42.33678731174469,23.232165726900103,31.20804382581711,85.49739,72,6,2.3373451668456893,12.0,1,True,77,169
8.8718083630085,8612,3.182346804928779,GOFF_20260726_20260819_PR_HH-layer2.tif,28.26459,21.12080248383433,12.479920557403565,17.208495595836638,85.49739,73,6,1.9396829701133336,24.0,1,True,92,169
15.591060177326204,7774,3.700506403541565,GOFF_20260819_20260831_PR_HH-layer2.tif,28.26459,24.83235983490944,15.40296112413168,19.717337449264527,85.49739,69,6,1.2646566189218544,12.0,1,True,100,169
21.02330521430969,9264,8.850442875963449,GOFF_20251128_20251210_PR_HH-layer2.tif,28.27799,65.64918204265594,37.991825776290895,54.10291563491821,85.52983,76,6,2.5734733470021927,12.0,4,True,89,169
21.357865322542192,9078,8.896384017276764,GOFF_20251210_20251222_PR_HH-layer2.tif,28.27799,67.11759861162184,36.600748375968934,51.17658281421661,85.52983,75,6,2.3961469014509706,12.0,4,True,88,169
24.497337375640868,9538,9.27946374705322,GOFF_20251222_20260103_PR_HH-layer2.tif,28.27799,52.052901653180115,31.375011006492375,40.59106874535084,85.52983,76,6,1.6569583919643818,12.0,4,True,110,169
23.829233368223907,9251,9.573993394660949,GOFF_20260103_20260115_PR_HH-layer2.tif,28.27799,46.88796067897081,26.961749026551246,34.99995787754059,85.52983,76,6,1.4687823706579144,12.0,4,True,98,169
18.60355077037811,8232,9.199006556081772,GOFF_20260702_20260714_PR_HH-layer2.tif,28.27799,43.24130938716888,23.44550891690254,32.01238051156997,85.52983,72,6,1.720767229154036,12.0,4,True,71,169
13.351919206666944,8567,6.187356183528901,GOFF_20260714_20260726_PR_HH-layer2.tif,28.27799,35.82802050172266,16.78950375509262,26.02771912829876,85.52983,72,6,1.9493616404825513,12.0,4,True,60,169
8.8718083630085,8612,3.182346804928779,GOFF_20260726_20260819_PR_HH-layer2.tif,28.27799,13.288739741753336,5.327716315758526,7.79544719774723,85.52983,73,6,0.8786762381219575,24.0,4,True,60,169
15.591060177326204,7774,3.700506403541565,GOFF_20260819_20260831_PR_HH-layer2.tif,28.27799,24.185499275779723,12.22421922569275,16.70608332710266,85.52983,69,6,1.0715168267644823,12.0,4,True,83,169
21.02330521430969,9264,8.850442875963449,GOFF_20251128_20251210_PR_HH-layer2.tif,28.2702,31.22825789794922,16.971308595285414,23.460456499671935,85.51853,76,6,1.1159261714805613,12.0,5,True,99,169
21.357865322542192,9078,8.896384017276764,GOFF_20251210_20251222_PR_HH-layer2.tif,28.2702,50.32018427066803,26.645408977890014,41.338893798065186,85.51853,75,6,1.9355349035951634,12.0,5,True,87,169
24.497337375640868,9538,9.27946374705322,GOFF_20251222_20260103_PR_HH-layer2.tif,28.2702,27.788432590677736,16.32192989098996,21.298693933868407,85.51853,76,6,0.8694289345521665,12.0,5,True,97,169
23.829233368223907,9251,9.573993394660949,GOFF_20260103_20260115_PR_HH-layer2.tif,28.2702,34.29950295073986,14.999308512479066,18.618514613199235,85.51853,76,6,0.7813308269508525,12.0,5,True,94,169
18.60355077037811,8232,9.199006556081772,GOFF_20260702_20260714_PR_HH-layer2.tif,28.2702,38.644769662621016,21.58441226662517,29.76453793888092,85.51853,72,6,1.5999385443274692,12.0,5,True,56,169
13.351919206666944,8567,6.187356183528901,GOFF_20260714_20260726_PR_HH-layer2.tif,28.2702,30.432391638708115,17.95518308119297,25.14610071430206,85.51853,72,6,1.883332300404124,12.0,5,True,73,169
8.8718083630085,8612,3.182346804928779,GOFF_20260726_20260819_PR_HH-layer2.tif,28.2702,17.706910719680785,9.463856994724273,13.64654604177475,85.51853,73,6,1.538192156931025,24.0,5,True,71,169
15.591060177326204,7774,3.700506403541565,GOFF_20260819_20260831_PR_HH-layer2.tif,28.2702,33.94839488182068,9.30889781806469,17.607619774246213,85.51853,69,6,1.1293407615636464,12.0,5,True,63,169
