azimuth_mad_sigma_mm,azimuth_median_mm,detect_floor_mm_day,export_file,export_mb,file,layer,magnitude_p95_mm,mean_correlation,range_mad_sigma_mm,range_max_abs_mm,range_median_mm,range_p5_mm,range_p95_mm,range_velocity_mm_day,reference,secondary,span_days,valid_pct,valid_px
296.13,-27.24,92.51,GOFF_20251219_20251231_PR_HH-layer3.tif,0.058,NISAR_L2_PR_GOFF_008_048_D_074_009_2000_QD_20251219T125815_20251219T125849_20251231T125815_20251231T125850_X05010_N_F_J_001.h5,HH/layer3,1135.3,0.608,370.04,1570.97,-81.44,-632.64,698.89,-6.787,20251219,20251231,12,0.02,4330
234.51,9.05,39.64,GOFF_20251222_20260103_PR_HH-layer1.tif,0.109,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer1,776.97,0.625,158.55,732.75,17.24,-284.77,359.09,1.437,20251222,20260103,12,0.05,8332
149.96,18.33,26.27,GOFF_20251222_20260103_PR_HH-layer2.tif,0.111,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer2,546.04,0.66,105.1,453.92,15.67,-173.5,232.46,1.306,20251222,20260103,12,0.05,8978
102.62,15.22,17.5,GOFF_20251222_20260103_PR_HH-layer3.tif,0.103,NISAR_L2_PR_GOFF_008_098_A_016_009_4000_SH_20251222T233921_20251222T233955_20260103T233921_20260103T233956_X05010_N_F_J_001.h5,HH/layer3,329.69,0.699,70.0,304.74,17.82,-102.35,157.47,1.485,20251222,20260103,12,0.05,8574
430.24,196.02,159.07,GOFF_20251231_20260112_PR_HH-layer1.tif,0.089,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer1,3171.19,0.601,636.3,3773.37,244.79,-1203.48,1998.69,20.399,20251231,20260112,12,0.04,6607
347.76,130.24,134.55,GOFF_20251231_20260112_PR_HH-layer2.tif,0.088,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer2,2152.73,0.604,538.21,2795.51,235.48,-954.43,1634.36,19.623,20251231,20260112,12,0.04,6839
222.35,94.67,90.08,GOFF_20251231_20260112_PR_HH-layer3.tif,0.07,NISAR_L2_PR_GOFF_009_048_D_074_010_2000_QD_20251231T125815_20251231T125850_20260112T125816_20260112T125850_X05010_N_F_J_001.h5,HH/layer3,1392.17,0.652,360.31,1797.93,213.42,-656.09,1238.11,17.785,20251231,20260112,12,0.03,5482
230.01,-7.2,39.46,GOFF_20260103_20260115_PR_HH-layer1.tif,0.108,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer1,797.04,0.632,157.83,725.17,1.17,-329.14,372.42,0.097,20260103,20260115,12,0.04,8205
152.9,-2.12,27.26,GOFF_20260103_20260115_PR_HH-layer2.tif,0.109,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer2,508.87,0.664,109.04,480.46,12.25,-186.87,296.68,1.021,20260103,20260115,12,0.05,8749
94.79,6.82,16.5,GOFF_20260103_20260115_PR_HH-layer3.tif,0.099,NISAR_L2_PR_GOFF_009_098_A_016_010_4000_SH_20260103T233921_20260103T233956_20260115T233922_20260115T233956_X05010_N_F_J_001.h5,HH/layer3,311.89,0.704,65.99,299.96,15.97,-91.82,215.12,1.331,20260103,20260115,12,0.04,8130
1200.62,196.78,148.28,GOFF_20260629_20260711_PR_HH-layer1.tif,0.073,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer1,8598.35,0.558,593.11,4139.76,242.23,-1606.13,2177.25,20.186,20260629,20260711,12,0.03,5114
1081.81,144.74,118.13,GOFF_20260629_20260711_PR_HH-layer2.tif,0.078,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer2,2729.09,0.553,472.52,2576.18,249.08,-1052.44,1631.22,20.757,20260629,20260711,12,0.03,5973
1120.86,37.39,77.99,GOFF_20260629_20260711_PR_HH-layer3.tif,0.065,NISAR_L2_PR_GOFF_024_048_D_074_025_2000_SH_20260629T125814_20260629T125849_20260711T125814_20260711T125848_P05023_N_F_J_001.h5,HH/layer3,1524.47,0.602,311.96,1684.94,252.48,-629.55,1125.67,21.04,20260629,20260711,12,0.03,5131
320.13,-42.98,26.69,GOFF_20260702_20260714_PR_HH-layer1.tif,0.094,NISAR_L2_PR_GOFF_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,HH/layer1,801.18,0.65,106.75,583.54,-48.51,-269.78,231.0,-4.042,20260702,20260714,12,0.04,7033
275.39,-49.16,17.87,GOFF_20260702_20260714_PR_HH-layer2.tif,0.099,NISAR_L2_PR_GOFF_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,HH/layer2,636.05,0.683,71.47,361.71,-43.86,-183.22,139.8,-3.655,20260702,20260714,12,0.04,7903
262.95,-27.82,15.05,GOFF_20260702_20260714_PR_HH-layer3.tif,0.095,NISAR_L2_PR_GOFF_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,HH/layer3,495.99,0.716,60.21,287.24,-39.28,-132.22,105.17,-3.273,20260702,20260714,12,0.04,8137
1028.79,-82.23,119.87,GOFF_20260711_20260723_PR_HH-layer1.tif,0.074,NISAR_L2_PR_GOFF_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,HH/layer1,5355.61,0.591,479.49,3045.82,-86.86,-1255.4,1599.87,-7.238,20260711,20260723,12,0.03,5311
949.41,-112.43,102.45,GOFF_20260711_20260723_PR_HH-layer2.tif,0.078,NISAR_L2_PR_GOFF_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,HH/layer2,2923.33,0.588,409.8,2165.92,-115.6,-1146.28,1249.72,-9.633,20260711,20260723,12,0.03,5933
937.18,-84.29,60.65,GOFF_20260711_20260723_PR_HH-layer3.tif,0.067,NISAR_L2_PR_GOFF_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,HH/layer3,1467.57,0.634,242.61,1235.19,-125.95,-602.81,603.53,-10.496,20260711,20260723,12,0.03,5205
274.19,-112.6,18.96,GOFF_20260714_20260726_PR_HH-layer1.tif,0.097,NISAR_L2_PR_GOFF_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,HH/layer1,668.8,0.7,75.83,409.49,21.45,-160.94,206.55,1.787,20260714,20260726,12,0.04,7355
264.92,-104.1,14.7,GOFF_20260714_20260726_PR_HH-layer2.tif,0.1,NISAR_L2_PR_GOFF_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,HH/layer2,564.66,0.73,58.81,259.04,14.72,-104.61,137.97,1.227,20260714,20260726,12,0.04,8036
236.34,-98.99,10.33,GOFF_20260714_20260726_PR_HH-layer3.tif,0.095,NISAR_L2_PR_GOFF_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,HH/layer3,512.0,0.76,41.33,202.9,12.25,-51.28,105.95,1.021,20260714,20260726,12,0.05,8329
170.48,-276.0,13.74,GOFF_20260723_20260816_PR_HH-layer1.tif,0.094,NISAR_L2_PR_GOFF_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,HH/layer1,924.25,0.631,109.89,603.73,27.5,-216.77,312.4,1.146,20260723,20260816,24,0.04,7091
111.39,-272.79,9.34,GOFF_20260723_20260816_PR_HH-layer2.tif,0.099,NISAR_L2_PR_GOFF_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,HH/layer2,739.42,0.658,74.72,378.64,29.76,-115.69,248.85,1.24,20260723,20260816,24,0.04,8129
90.97,-275.57,7.41,GOFF_20260723_20260816_PR_HH-layer3.tif,0.089,NISAR_L2_PR_GOFF_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,HH/layer3,504.83,0.698,59.26,289.61,27.72,-51.25,200.18,1.155,20260723,20260816,24,0.04,7779
154.65,25.86,13.34,GOFF_20260726_20260819_PR_HH-layer1.tif,0.098,NISAR_L2_PR_GOFF_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,HH/layer1,579.46,0.668,106.71,544.08,-0.5,-204.54,229.39,-0.021,20260726,20260819,24,0.04,7360
106.52,27.85,10.07,GOFF_20260726_20260819_PR_HH-layer2.tif,0.103,NISAR_L2_PR_GOFF_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,HH/layer2,385.23,0.7,80.54,369.89,-1.62,-136.52,182.59,-0.068,20260726,20260819,24,0.04,8190
85.51,14.65,7.05,GOFF_20260726_20260819_PR_HH-layer3.tif,0.098,NISAR_L2_PR_GOFF_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,HH/layer3,254.05,0.732,56.41,263.22,-2.13,-73.34,134.75,-0.089,20260726,20260819,24,0.05,8227
166.11,78.64,73.1,GOFF_20260816_20260828_UR_HH-layer1.tif,0.074,NISAR_L2_UR_GOFF_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_F_F_J_001.h5,HH/layer1,1413.95,0.619,292.41,1573.07,218.96,-524.92,973.39,18.247,20260816,20260828,12,0.03,5659
112.81,63.45,52.35,GOFF_20260816_20260828_UR_HH-layer2.tif,0.058,NISAR_L2_UR_GOFF_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_F_F_J_001.h5,HH/layer2,966.35,0.662,209.41,1172.73,226.28,-115.9,873.76,18.857,20260816,20260828,12,0.02,4517
