elev_iqr_m,elev_range_m,file,intercept_mm,leverage,mad_after_mm,mad_before_mm,n,n_used,p_value,r,slope_mm_per_km,std_after_mm,std_before_mm,usable,variance_explained
1182.4111236589501,3975.74963297572,GUNW_20251125_20251207_PR.tif,5.569321061153021,3.362408855451929,16.79319050937718,15.841016055107115,2663,2591,1.611180786312835e-08,0.11034862880790051,2.0132915147970216,19.49970342066957,19.687349697339215,True,0.012176819879783812
1005.9355166572554,4018.7578769057045,GUNW_20251128_20251210_PR.tif,-4.292735574684447,3.9950452194591164,16.248604992278626,13.782206481170654,7077,6324,0.0,-0.45985301670358913,-11.396502601165341,35.719727635581485,39.43365128177753,True,0.21146479697139142
1107.970186335403,3847.626764539808,GUNW_20251207_20251219_PR.tif,29.430084000644833,3.472680774259625,12.517623881078556,13.52956080200672,2166,2061,2.2151142174039966e-121,-0.4587672148994888,-8.845294357268228,17.368550954128967,18.388532912977325,True,0.21046735746663373
847.7546866177295,4013.8871823828345,GUNW_20251210_20251222_PR.tif,-41.46291431665133,4.734727210293538,10.710686296607147,10.44008611035347,6265,5360,0.0,0.5492980227537849,10.670165093433697,29.659954068312214,32.41631891778514,True,0.3017283178012176
1050.961095426312,4018.7578769057045,GUNW_20251222_20260103_PR.tif,-10.961104094461028,3.8238883383932825,16.82749898914889,17.00515092372894,7592,6624,2.2261143569711244e-258,0.3887612462690444,8.64277777798324,33.80188808791395,35.64126000416125,True,0.1511353066006606
946.3006211180132,3528.345115753811,GUNW_20260103_20260115_PR.tif,97.7555591005973,3.7285668391353526,11.573581476792215,19.607198044753073,6314,5549,0.0,-0.7790705573605283,-21.69404303692846,29.151397167086202,34.157765462314686,True,0.6069509333460442
1724.2556747600233,3684.0764539808015,GUNW_20260620_20260702_PR.tif,24.4023078173974,2.1366184307286913,11.64442670031766,15.565809730911255,174,156,0.00013981586733549187,0.29339137140441746,4.021139953516057,19.33503546095547,19.85839131839824,True,0.08607849681456482
1035.4442970073405,3345.1452286843596,GUNW_20260629_20260711_PR.tif,-30.239073243329514,3.2306375517761388,9.35735420688247,13.411741466874629,1082,1036,3.259374790480048e-126,0.5964877727282779,10.008326802782232,13.307140070110322,14.979523074932178,True,0.35579766301434174
1324.9344720496888,3164.3057029926595,GUNW_20260702_20260714_PR.tif,-38.30241499042535,2.388273359736382,19.621076525617738,19.03231985092163,363,336,0.22467241923834738,-0.06629177157097935,-1.5579190722791814,28.20253520142772,28.07433401944184,True,0.004394598978018906
1376.767814793901,3165.6446075663475,GUNW_20260711_20260723_PR.tif,71.56864705086392,2.299330775712706,10.585997828608503,13.883522156524657,1444,1329,2.0929785146566954e-153,-0.5865836945661089,-9.905568366065149,47.719693535215036,47.817373837723956,True,0.34408043073082617
1875.7260304912475,3622.6590626764537,GUNW_20260714_20260726_PR.tif,-31.49636176553802,1.931336988338158,7.014372401122462,16.071672665405274,154,149,8.181007044081472e-129,0.893667269973289,12.54374078698047,10.091960010784307,16.259198624697845,True,0.7986411894215115
1173.4202145680406,3109.8679841897238,GUNW_20260723_20260816_PR.tif,-28.620680669444113,2.650259425890774,13.838356002353104,11.993191462039947,387,375,5.3865325144400126e-05,0.20466359865388856,4.484042327267403,17.977895700655036,18.34553956015816,True,0.04188718861395997
1209.6252964426885,3699.4615471485017,GUNW_20260726_20260819_PR.tif,32.89046862743655,3.0583533248089445,48.85732629082038,48.587070602416986,389,389,0.6095656268611893,0.025951271238649466,1.363946764143171,43.17913026649712,43.193677506330694,True,0.000673468478901955
960.7475437605876,3822.933935629588,GUNW_20260816_20260828_PR.tif,-54.20479140108552,3.9791243396425897,7.8894402363003024,8.8079964969635,858,803,1.1170760408899713e-76,0.5478282486196139,7.867720225915685,62.19737356788277,62.70693877351256,True,0.3001157899856335
937.2482213438734,3216.7191417278373,GUNW_20260816_20260828_UR.tif,-367.10368126417205,3.432088819667798,7.382432153947907,13.743708334350584,814,760,0.0,0.8371496170579356,17.892454117825594,36.3797193620667,38.59704968998566,True,0.7008194813402482
